from	to	relation	status	method	reviewer	note
acat/ayurveda	wd/Q132325	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Ayurveda' (92 sitelinks)
acat/traditional-chinese-medicine	wd/Q200253	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'traditional Chinese medicine' (59 sitelinks)
acat/unani-medicine			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/traditional-african-medicine	wd/Q2329068	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'traditional African medicine' (15 sitelinks)
acat/death-and-dying	wd/Q29483	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'palliative care' (49 sitelinks)
acat/language	wd/Q315	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'language' (336 sitelinks)
acat/linguistics	wd/Q8162	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'linguistics' (239 sitelinks)
acat/phonetics-and-phonology	wd/Q35395	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/grammar	wd/Q8091	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'grammar' (202 sitelinks)
acat/semantics-and-pragmatics	wd/Q39645	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/historical-linguistics	wd/Q190375	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'historical linguistics' (67 sitelinks)
acat/sociolinguistics	wd/Q160845	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sociolinguistics' (91 sitelinks)
acat/psycholinguistics	wd/Q179488	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'psycholinguistics' (70 sitelinks)
acat/computational-linguistics	wd/Q182557	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'computational linguistics' (69 sitelinks)
acat/language-documentation	wd/Q1133221	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/onomastics	wd/Q175156	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/lexicography	wd/Q184524	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'lexicography' (82 sitelinks)
acat/languages-of-the-world			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/afroasiatic-languages	wd/Q25268	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/austroasiatic-languages	wd/Q33199	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/austronesian-languages	wd/Q49228	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/dravidian-languages	wd/Q33311	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/indo-european-languages	wd/Q19860	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/japonic-languages	wd/Q33612	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/koreanic-languages	wd/Q11263525	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/kra-dai-languages	wd/Q34171	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mongolic-languages	wd/Q33750	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/niger-congo-languages	wd/Q33838	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/nilo-saharan-languages	wd/Q33705	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/sino-tibetan-languages	wd/Q45961	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/trans-new-guinea-languages	wd/Q34018	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/tungusic-languages	wd/Q34230	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/turkic-languages	wd/Q34090	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/uralic-languages	wd/Q34113	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/caucasian-languages	wd/Q12237297	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/khoisan-languages	wd/Q33614	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/australian-aboriginal-languages	wd/Q205143	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/indigenous-languages-of-the-americas	wd/Q51739	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/language-isolates	wd/Q33648	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/sign-languages	wd/Q34228	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/pidgins-and-creoles	wd/Q33831	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/constructed-languages	wd/Q33215	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/writing-systems	wd/Q8192	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/alphabets	wd/Q9779	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/abjads	wd/Q185087	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/abugidas	wd/Q335806	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/syllabaries	wd/Q182133	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/logographic-writing	wd/Q138659	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/communication	wd/Q11024	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/journalism	wd/Q11030	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/broadcasting	wd/Q15078788	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/social-media	wd/Q202833	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'social media' (115 sitelinks)
acat/advertising-and-public-relations	wd/Q37038	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/propaganda	wd/Q7281	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/rhetoric	wd/Q81009	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'rhetoric' (109 sitelinks)
acat/nonverbal-communication	wd/Q207125	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'nonverbal communication' (57 sitelinks)
acat/translation-and-interpreting	wd/Q7553	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'translation' (168 sitelinks)
acat/oral-tradition	wd/Q209815	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'oral tradition' (59 sitelinks)
acat/publishing	wd/Q3972943	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/semiotics	wd/Q60195	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'semiotics' (97 sitelinks)
acat/life	wd/Q3	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'life' (241 sitelinks)
acat/cell-biology	wd/Q7141	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cell biology' (105 sitelinks)
acat/molecular-biology	wd/Q7202	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'molecular biology' (99 sitelinks)
acat/genetics	wd/Q7162	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'genetics' (169 sitelinks)
acat/genomics	wd/Q222046	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'genomics' (55 sitelinks)
acat/evolution	wd/Q1063	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'evolution' (199 sitelinks)
acat/speciation	wd/Q39350	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'speciation' (60 sitelinks)
acat/phylogenetics	wd/Q3516404	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'systematics' (84 sitelinks)
acat/origin-of-life	wd/Q9050360	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'origin of life' (47 sitelinks)
acat/human-evolution	wd/Q83944	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human evolution' (101 sitelinks)
acat/physiology	wd/Q521	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'physiology' (135 sitelinks)
acat/developmental-biology	wd/Q213713	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'developmental biology' (65 sitelinks)
acat/ecology	wd/Q7150	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'ecology' (229 sitelinks)
acat/ecosystems	wd/Q37813	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/biomes	wd/Q101998	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/biogeography	wd/Q52106	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biogeography' (90 sitelinks)
acat/conservation-biology	wd/Q47041	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biodiversity' (116 sitelinks)
acat/organisms	wd/Q7239	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/taxonomy-biology	wd/Q11398	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biological classification' (123 sitelinks)
acat/microorganisms	wd/Q39833	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/bacteria-and-archaea	wd/Q19081	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'prokaryotes' (110 sitelinks)
acat/viruses	wd/Q808	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/protists	wd/Q10892	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/fungi	wd/Q764	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'fungi' (209 sitelinks)
acat/plants	wd/Q756	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/animals	wd/Q729	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/invertebrates	wd/Q43806	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/fish	wd/Q152	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'fish' (272 sitelinks)
acat/amphibians	wd/Q10908	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/reptiles	wd/Q10811	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/birds	wd/Q5113	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mammals	wd/Q7377	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/ethology	wd/Q7155	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'ethology' (92 sitelinks)
acat/marine-biology	wd/Q7173	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'marine biology' (66 sitelinks)
acat/matter	wd/Q14632398	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/physics	wd/Q413	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'physics' (319 sitelinks)
acat/classical-mechanics	wd/Q11397	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'classical mechanics' (133 sitelinks)
acat/thermodynamics	wd/Q11473	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/electromagnetism	wd/Q11406	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'electromagnetism' (126 sitelinks)
acat/optics	wd/Q14620	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'optics' (130 sitelinks)
acat/acoustics	wd/Q82811	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'acoustics' (99 sitelinks)
acat/fluid-dynamics	wd/Q216320	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'fluid dynamics' (57 sitelinks)
acat/relativity	wd/Q43514	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/quantum-physics	wd/Q944	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'quantum mechanics' (175 sitelinks)
acat/particle-physics	wd/Q18334	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'particle physics' (98 sitelinks)
acat/nuclear-physics	wd/Q81197	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'nuclear physics' (105 sitelinks)
acat/atomic-and-molecular-physics	wd/Q26383	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'atomic physics' (84 sitelinks)
acat/condensed-matter-physics	wd/Q214781	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'condensed matter physics' (59 sitelinks)
acat/plasma-physics	wd/Q5615097	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'plasma physics' (24 sitelinks)
acat/chemistry	wd/Q2329	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'chemistry' (306 sitelinks)
acat/chemical-elements	wd/Q10693	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'periodic table' (230 sitelinks)
acat/inorganic-chemistry	wd/Q11165	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/organic-chemistry	wd/Q11351	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'organic chemistry' (156 sitelinks)
acat/physical-chemistry	wd/Q11372	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'physical chemistry' (121 sitelinks)
acat/analytical-chemistry	wd/Q2346	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'analytical chemistry' (118 sitelinks)
acat/biochemistry	wd/Q7094	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biochemistry' (160 sitelinks)
acat/polymer-chemistry	wd/Q750446	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/electrochemistry	wd/Q7877	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'electrochemistry' (80 sitelinks)
acat/astronomy	wd/Q333	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/solar-system	wd/Q544	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/planetary-science	wd/Q104499	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'planetary science' (76 sitelinks)
acat/stars	wd/Q523	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/galaxies	wd/Q318	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/cosmology	wd/Q338	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cosmology' (118 sitelinks)
acat/astrophysics	wd/Q37547	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'astrophysics' (113 sitelinks)
acat/astrobiology	wd/Q411	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'astrobiology' (95 sitelinks)
acat/observational-astronomy	wd/Q818557	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'observational astronomy' (37 sitelinks)
acat/cultural-astronomy	wd/Q5193262	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cultural astronomy' (9 sitelinks)
acat/metrology	wd/Q12453	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'measurement' (152 sitelinks)
acat/units-of-measurement	wd/Q47574	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mind	wd/Q450	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mind' (180 sitelinks)
acat/psychology	wd/Q9418	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'psychology' (248 sitelinks)
acat/cognitive-psychology	wd/Q23373	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cognitive psychology' (74 sitelinks)
acat/developmental-psychology	wd/Q175002	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'developmental psychology' (70 sitelinks)
acat/social-psychology	wd/Q161272	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'social psychology' (89 sitelinks)
acat/personality-psychology	wd/Q271716	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'personality psychology' (57 sitelinks)
acat/clinical-psychology	wd/Q199906	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'clinical psychology' (62 sitelinks)
acat/cross-cultural-psychology	wd/Q2084504	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cross-cultural psychology' (20 sitelinks)
acat/neuroscience	wd/Q207011	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'neuroscience' (82 sitelinks)
acat/cognitive-neuroscience	wd/Q1138951	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cognitive neuroscience' (30 sitelinks)
acat/cognitive-science	wd/Q147638	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cognitive science' (80 sitelinks)
acat/perception	wd/Q160402	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'perception' (86 sitelinks)
acat/memory	wd/Q492	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'memory' (149 sitelinks)
acat/learning	wd/Q133500	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'learning' (126 sitelinks)
acat/emotion	wd/Q9415	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'emotion' (170 sitelinks)
acat/motivation	wd/Q644302	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'motivation' (93 sitelinks)
acat/intelligence	wd/Q83500	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'intelligence' (119 sitelinks)
acat/consciousness	wd/Q7087	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'consciousness' (133 sitelinks)
acat/sleep-and-dreams	wd/Q35831	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/decision-making	wd/Q1331926	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/creativity	wd/Q170658	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'creativity' (100 sitelinks)
acat/human-development			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/childhood	wd/Q276258	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'childhood' (94 sitelinks)
acat/adolescence	wd/Q131774	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'adolescence' (108 sitelinks)
acat/adulthood-and-ageing	wd/Q332154	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/human-sexuality	wd/Q154136	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human sexuality' (92 sitelinks)
acat/parapsychology	wd/Q179098	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'parapsychology' (69 sitelinks)
acat/past	wd/Q309	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history' (321 sitelinks)
acat/prehistory	wd/Q11756	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'prehistory' (176 sitelinks)
acat/palaeolithic	wd/Q40203	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/neolithic	wd/Q36422	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/early-human-dispersals	wd/Q858288	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-by-period			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/period-before-3000bce			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/period-3000-2001bce	wd/Q29945	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/period-2000-1001bce	wd/Q26257	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/period-1000-1bce	wd/Q25716	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/period-1-1000	wd/Q25868	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/period-1001-1500			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/period-1501-1800			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/period-1801-1900	wd/Q6955	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched '19th century' (178 sitelinks)
acat/period-1901-2000	wd/Q6927	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched '20th century' (196 sitelinks)
acat/period-2001-present	wd/Q6939	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched '21st century' (183 sitelinks)
acat/history-by-region			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/history-of-africa	wd/Q149813	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Africa' (77 sitelinks)
acat/history-of-northern-africa	wd/Q375719	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-western-africa	wd/Q5867197	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-eastern-africa			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/history-of-middle-africa	wd/Q116158742	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'History of Central Africa' (3 sitelinks)
acat/history-of-southern-africa	wd/Q116158749	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Southern Africa' (3 sitelinks)
acat/history-of-the-americas	wd/Q690256	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of the Americas' (47 sitelinks)
acat/history-of-northern-america	wd/Q149527	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-central-america	wd/Q1202140	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Central America' (26 sitelinks)
acat/history-of-the-caribbean	wd/Q457898	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of the Caribbean' (26 sitelinks)
acat/history-of-south-america	wd/Q912852	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of South America' (36 sitelinks)
acat/history-of-asia	wd/Q627531	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Asia' (62 sitelinks)
acat/history-of-central-asia	wd/Q635111	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Central Asia' (23 sitelinks)
acat/history-of-eastern-asia	wd/Q831198	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-south-eastern-asia	wd/Q2227514	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-southern-asia	wd/Q67141869	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-western-asia	wd/Q51615	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-europe	wd/Q7787	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Europe' (107 sitelinks)
acat/history-of-eastern-europe	wd/Q1641744	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Eastern Europe' (3 sitelinks)
acat/history-of-northern-europe	wd/Q125075561	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Northern Europe' (1 sitelinks)
acat/history-of-southern-europe			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/history-of-western-europe	wd/Q28060026	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Western Europe' (1 sitelinks)
acat/history-of-oceania	wd/Q149509	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Oceania' (35 sitelinks)
acat/history-of-australia-and-new-zealand	wd/Q174825	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-melanesia			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/history-of-micronesia			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/history-of-polynesia	wd/Q12669839	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Polynesia' (5 sitelinks)
acat/history-of-antarctica	wd/Q722537	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of Antarctica' (41 sitelinks)
acat/history-of-the-oceans	wd/Q1516975	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'maritime history' (20 sitelinks)
acat/thematic-history			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/economic-history	wd/Q47398	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'economic history' (49 sitelinks)
acat/social-history	wd/Q908604	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'social history' (31 sitelinks)
acat/political-history	wd/Q1147507	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'political history' (33 sitelinks)
